origin,seed,train_loss,n_train_queries,n_train_context_dates,skipped_train_dates,fit_seconds
ORIGIN14,11,0.7648822616221146,9976,7,7,3.7332344599999487
ORIGIN14,42,0.7951523242958948,9976,7,7,2.6446984980721027
ORIGIN14,73,0.7850264674104875,9976,7,7,2.642304358072579
ORIGIN28,11,0.6683772275383051,30136,21,7,7.949714653077535
ORIGIN28,42,0.6485885247580246,30136,21,7,7.977854017983191
ORIGIN28,73,0.6609430584650094,30136,21,7,7.92824814398773
